Year,President,President P,Senate,House
1973,Gerald Ford,Republican,Democrat,Democrat
1974,Gerald Ford,Republican,Democrat,Democrat
1975,Gerald Ford,Republican,Democrat,Democrat
1976,Gerald Ford,Republican,Democrat,Democrat
1977,Jimmy Carter,Democrat,Democrat,Democrat
1978,Jimmy Carter,Democrat,Democrat,Democrat
1979,Jimmy Carter,Democrat,Democrat,Democrat
1980,Jimmy Carter,Democrat,Democrat,Democrat
1981,Ronald Reagan,Republican,Republican,Democrat
1982,Ronald Reagan,Republican,Republican,Democrat
1983,Ronald Reagan,Republican,Republican,Democrat
1984,Ronald Reagan,Republican,Republican,Democrat
1985,Ronald Reagan,Republican,Republican,Democrat
1986,Ronald Reagan,Republican,Republican,Democrat
1987,Ronald Reagan,Republican,Democrat,Democrat
1988,Ronald Reagan,Republican,Democrat,Democrat
1989,George H. W. Bush,Republican,Democrat,Democrat
1990,George H. W. Bush,Republican,Democrat,Democrat
1991,George H. W. Bush,Republican,Democrat,Democrat
1992,George H. W. Bush,Republican,Democrat,Democrat
1993,Bill Clinton,Democrat,Democrat,Democrat
1994,Bill Clinton,Democrat,Democrat,Democrat
1995,Bill Clinton,Democrat,Republican,Republican
1996,Bill Clinton,Democrat,Republican,Republican
1997,Bill Clinton,Democrat,Republican,Republican
1998,Bill Clinton,Democrat,Republican,Republican
1999,Bill Clinton,Democrat,Republican,Republican
2000,Bill Clinton,Democrat,Republican,Republican
2001,George W. Bush,Republican,Republican,Republican
2002,George W. Bush,Republican,Republican,Republican
2003,George W. Bush,Republican,Republican,Republican
2004,George W. Bush,Republican,Republican,Republican
2005,George W. Bush,Republican,Republican,Republican
2006,George W. Bush,Republican,Republican,Republican
2007,George W. Bush,Republican,Democrat,Democrat
2008,George W. Bush,Republican,Democrat,Democrat
2009,Barack Obama,Democrat,Democrat,Democrat
2010,Barack Obama,Democrat,Democrat,Democrat
2011,Barack Obama,Democrat,Democrat,Republican
2012,Barack Obama,Democrat,Democrat,Republican
2013,Barack Obama,Democrat,Democrat,Republican
2014,Barack Obama,Democrat,Democrat,Republican
2015,Barack Obama,Democrat,Republican,Republican
2016,Barack Obama,Democrat,Republican,Republican
2017,Donald Trump,Republican,Republican,Republican
2018,Donald Trump,Republican,Republican,Republican
